NE Name,Resource Name,Queue Block,Queue Number,Time,Dequeued (Bytes),Dequeued (Frames),Dropped (Bytes),Dropped (Frames)
NACM_172.17.238.90,Ethernet 1/4,0/1,5,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,6,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/4,0/1,7,2026-02-05 14:00:17,0,0,0,0
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:02:17,2034863488,15897371,15587667328,121778650
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:04:17,2184039808,17062811,16730744448,130708939
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:06:17,2334395776,18237467,17882854400,139709799
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:08:17,2484186496,19407707,19030630272,148676797
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:10:17,2633986432,20578019,20178475776,157644341
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:12:17,2783709568,21747731,21325748352,166607407
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:14:17,2933469568,22917731,22473308928,175572725
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:16:17,3083306368,24088331,23621441152,184542508
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:18:17,3233069440,25258355,24768998656,193507801
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:20:17,3382792576,26428067,25916271744,202470871
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:22:17,3532592512,27598379,27064116480,211438409
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:24:17,3682353664,28768387,28211684096,220403782
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:26:17,3832048000,29937875,29358715136,229364961
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:28:17,3981771136,31107587,30505989248,238328040
NACM_172.17.238.90,Ethernet 1/3,0/1,0,2026-02-05 14:30:17,4131571072,32277899,31653832832,247295567
